X,Y,Theta
61.38,33.09,117.83
61.4,33.01,117.98
61.41,32.94,118.13
61.43,32.86,118.28
61.44,32.79,118.43
61.46,32.71,118.58
61.47,32.64,118.73
61.49,32.56,118.88
61.5,32.49,119.03
61.52,32.41,119.18
61.53,32.34,119.33
61.55,32.26,119.48
61.56,32.19,119.63
61.58,32.11,119.78
61.59,32.04,119.93
61.61,31.96,120.08
61.62,31.89,120.23
61.64,31.81,120.38
61.65,31.74,120.53
61.67,31.66,120.68
61.68,31.59,120.83
61.7,31.51,120.98
61.71,31.44,121.13
61.73,31.36,121.28
61.74,31.29,121.43
61.76,31.21,121.58
61.77,31.14,121.73
61.79,31.06,121.88
61.8,30.99,122.03
61.82,30.91,122.18
61.83,30.84,122.33
61.85,30.76,122.48
61.86,30.69,122.63
61.88,30.61,122.78
61.89,30.54,122.93
61.91,30.46,123.08
61.92,30.39,123.23
61.94,30.31,123.38
61.95,30.24,123.53
61.97,30.16,123.68
61.98,30.09,123.83
62,30.01,123.98
62.01,29.93,124.09
62.03,29.86,124.2
62.04,29.78,124.3
62.06,29.71,124.41
62.07,29.63,124.51
62.09,29.56,124.62
62.1,29.48,124.72
62.12,29.41,124.83
62.13,29.33,124.93
62.15,29.26,125.04
62.16,29.18,125.14
62.18,29.11,125.25
62.19,29.03,125.35
62.21,28.96,125.46
62.22,28.88,125.56
62.24,28.81,125.67
62.25,28.73,125.77
62.27,28.66,125.88
62.28,28.58,125.98
62.3,28.51,126.09
62.31,28.43,126.19
62.33,28.36,126.3
62.34,28.28,126.4
62.36,28.21,126.51
62.37,28.13,126.61
62.39,28.06,126.72
62.4,27.98,126.82
62.42,27.91,126.93
62.43,27.83,127.03
62.45,27.76,127.14
62.46,27.68,127.24
62.48,27.61,127.35
62.49,27.53,127.45
62.51,27.46,127.56
62.52,27.38,127.66
62.54,27.31,127.77
62.55,27.23,127.87
62.57,27.16,127.98
62.58,27.08,128.08
62.6,27.01,128.19
62.61,26.93,128.29
62.63,26.86,128.4
62.64,26.78,128.5
62.66,26.71,128.61
62.67,26.63,128.71
62.69,26.56,128.82
62.7,26.48,128.92
62.72,26.41,129.03
62.73,26.33,129.13
62.75,26.26,129.24
62.76,26.18,129.34
62.78,26.11,129.45
62.79,26.03,129.55
62.81,25.96,129.66
62.82,25.88,129.76
62.84,25.81,129.87
62.85,25.73,129.97
62.87,25.66,130.08
62.88,25.58,130.18
62.9,25.51,130.29
62.91,25.43,130.39
62.93,25.36,130.5
62.94,25.28,130.6
62.96,25.21,130.71
62.97,25.13,130.81
62.99,25.06,130.92
63,24.98,131.02
62.99,24.91,131.13
62.98,24.83,131.23
62.98,24.76,131.34
62.97,24.68,131.44
62.96,24.61,131.55
62.95,24.53,131.65
62.95,24.46,131.76
62.94,24.38,131.86
62.93,24.31,131.97
62.92,24.23,132.08
62.92,24.16,132.18
62.91,24.08,132.29
62.9,24.01,132.39
62.89,23.93,132.5
62.89,23.86,132.6
62.88,23.78,132.71
62.87,23.71,132.81
62.86,23.63,132.92
62.86,23.56,133.02
62.85,23.48,133.13
62.84,23.41,133.23
62.83,23.33,133.34
62.83,23.26,133.44
62.82,23.18,133.55
62.81,23.11,133.65
62.8,23.03,133.76
62.8,22.96,133.86
62.79,22.88,133.97
62.78,22.81,134.07
62.77,22.73,134.18
62.77,22.66,134.28
62.76,22.58,134.39
62.75,22.51,134.49
62.74,22.43,134.6
62.74,22.36,134.7
62.73,22.28,134.81
62.72,22.21,134.91
62.71,22.13,135.02
62.71,22.06,135.12
62.7,21.98,135.23
62.69,21.91,135.33
62.68,21.83,135.44
62.68,21.76,135.54
62.67,21.68,135.65
62.66,21.61,135.75
62.65,21.53,135.86
62.65,21.46,135.96
62.64,21.38,136.07
62.63,21.31,136.17
62.62,21.23,136.28
62.62,21.16,136.38
62.61,21.08,136.49
62.6,21.01,136.59
62.59,20.93,136.7
62.59,20.86,136.8
62.58,20.78,136.91
62.57,20.71,137.01
62.56,20.63,137.12
62.56,20.56,137.22
62.55,20.48,137.33
62.54,20.41,137.43
62.53,20.33,137.54
62.53,20.26,137.64
62.52,20.18,137.75
62.51,20.11,137.85
62.5,20.03,137.96
62.5,19.95,138.05
62.49,19.88,138.14
62.48,19.8,138.23
62.47,19.73,138.32
62.47,19.65,138.41
62.46,19.58,138.5
62.45,19.5,138.59
62.44,19.43,138.68
62.44,19.35,138.77
62.43,19.28,138.86
62.42,19.2,138.95
62.41,19.13,139.04
62.41,19.05,139.13
62.4,18.98,139.22
62.39,18.9,139.31
62.38,18.83,139.4
62.38,18.75,139.49
62.37,18.68,139.58
62.36,18.6,139.67
62.35,18.53,139.76
62.35,18.45,139.85
62.34,18.38,139.94
62.33,18.3,140.04
62.32,18.23,140.13
62.32,18.15,140.22
62.31,18.08,140.31
62.3,18,140.4
62.29,17.93,140.49
62.29,17.85,140.58
62.28,17.78,140.67
62.27,17.7,140.76
62.26,17.63,140.85
62.26,17.55,140.94
62.25,17.48,141.03
62.24,17.4,141.12
62.23,17.33,141.21
62.23,17.25,141.3
62.22,17.18,141.39
62.21,17.1,141.48
62.2,17.03,141.57
62.2,16.95,141.66
62.19,16.88,141.75
62.18,16.8,141.84
62.17,16.73,141.93
62.17,16.65,142.02
62.16,16.58,142.11
62.15,16.5,142.2
62.14,16.43,142.29
62.14,16.35,142.38
62.13,16.28,142.47
62.12,16.2,142.56
62.11,16.13,142.65
62.11,16.05,142.74
62.1,15.98,142.83
62.09,15.9,142.92
62.08,15.83,143.01
62.08,15.75,143.1
62.07,15.68,143.19
62.06,15.6,143.28
62.05,15.53,143.37
62.05,15.45,143.46
62.04,15.38,143.55
62.03,15.3,143.64
62.02,15.23,143.73
62.02,15.15,143.82
62.01,15.08,143.91
62,15,144
61.99,14.93,144.09
61.99,14.85,144.18
61.98,14.78,144.27
61.97,14.7,144.36
61.96,14.63,144.45
61.96,14.55,144.54
61.95,14.48,144.63
61.94,14.4,144.72
61.93,14.33,144.81
61.93,14.25,144.9
61.92,14.18,144.99
61.91,14.1,145.08
61.9,14.03,145.17
61.9,13.95,145.26
61.89,13.88,145.35
61.88,13.8,145.44
61.87,13.73,145.53
61.87,13.65,145.62
61.86,13.58,145.71
61.85,13.5,145.8
61.84,13.43,145.89
61.84,13.35,145.98
61.83,13.28,146.07
61.82,13.2,146.16
61.81,13.13,146.25
61.81,13.05,146.34
61.8,12.98,146.43
61.79,12.9,146.52
61.78,12.83,146.61
61.78,12.75,146.7
61.77,12.68,146.79
61.76,12.6,146.88
61.75,12.53,146.97
61.75,12.45,147.06
61.74,12.38,147.15
61.73,12.3,147.24
61.72,12.23,147.33
61.72,12.15,147.42
61.71,12.08,147.51
61.7,12,147.6
61.69,11.93,147.69
61.69,11.85,147.78
61.68,11.78,147.87
61.67,11.7,147.96
61.66,11.63,148.05
61.66,11.55,148.14
61.65,11.48,148.23
61.64,11.4,148.32
61.63,11.33,148.41
61.63,11.25,148.5
61.62,11.18,148.59
61.61,11.1,148.68
61.6,11.03,148.77
61.6,10.95,148.86
61.59,10.88,148.95
61.58,10.8,149.04
61.57,10.73,149.13
61.57,10.65,149.22
61.56,10.58,149.31
61.55,10.5,149.4
61.54,10.43,149.49
61.54,10.35,149.58
61.53,10.28,149.67
61.52,10.2,149.76
61.51,10.13,149.85
61.51,10.05,149.94
61.5,9.97,150.03
61.49,9.9,150.1
61.49,9.82,150.18
61.49,9.75,150.25
61.48,9.67,150.33
61.48,9.6,150.4
61.48,9.52,150.48
61.47,9.45,150.55
61.47,9.37,150.63
61.46,9.3,150.7
61.46,9.22,150.78
61.46,9.15,150.85
61.45,9.07,150.93
61.45,9,151
61.45,8.92,151.08
61.44,8.85,151.15
61.44,8.77,151.23
61.43,8.7,151.3
61.43,8.62,151.38
61.43,8.55,151.45
61.42,8.47,151.53
61.42,8.4,151.6
61.42,8.32,151.68
61.41,8.25,151.75
61.41,8.17,151.83
61.4,8.1,151.9
61.4,8.02,151.98
61.4,7.95,152.05
61.39,7.87,152.13
61.39,7.8,152.2
61.39,7.72,152.28
61.38,7.65,152.35
61.38,7.57,152.43
61.37,7.5,152.5
61.37,7.42,152.58
61.37,7.35,152.65
61.36,7.27,152.73
61.36,7.2,152.8
61.36,7.12,152.88
61.35,7.05,152.95
61.35,6.97,153.03
61.34,6.9,153.1
61.34,6.82,153.18
61.34,6.75,153.25
61.33,6.67,153.33
61.33,6.6,153.4
61.33,6.52,153.48
61.32,6.45,153.55
61.32,6.37,153.63
61.31,6.3,153.7
61.31,6.22,153.78
61.31,6.15,153.85
61.3,6.07,153.93
61.3,6,154
61.3,5.92,154.08
61.29,5.85,154.15
61.29,5.77,154.23
61.28,5.7,154.3
61.28,5.62,154.38
61.28,5.55,154.45
61.27,5.47,154.53
61.27,5.4,154.6
61.27,5.32,154.68
61.26,5.25,154.75
61.26,5.17,154.83
61.25,5.1,154.9
61.25,5.02,154.98
61.25,4.95,155.06
61.24,4.87,155.15
61.24,4.8,155.24
61.24,4.72,155.33
61.23,4.65,155.42
61.23,4.57,155.51
61.22,4.5,155.6
61.22,4.42,155.69
61.22,4.35,155.78
61.21,4.27,155.87
61.21,4.2,155.96
61.21,4.12,156.05
61.2,4.05,156.14
61.2,3.97,156.23
61.19,3.9,156.32
61.19,3.82,156.41
61.19,3.75,156.5
61.18,3.67,156.59
61.18,3.6,156.68
61.18,3.52,156.77
61.17,3.45,156.86
61.17,3.37,156.95
61.16,3.3,157.04
61.16,3.22,157.13
61.16,3.15,157.22
61.15,3.07,157.31
61.15,3,157.4
61.15,2.92,157.49
61.14,2.85,157.58
61.14,2.77,157.67
61.13,2.7,157.76
61.13,2.62,157.85
61.13,2.55,157.94
61.12,2.47,158.03
61.12,2.4,158.12
61.12,2.32,158.21
61.11,2.25,158.3
61.11,2.17,158.39
61.1,2.1,158.48
61.1,2.02,158.57
61.1,1.95,158.66
61.09,1.87,158.75
61.09,1.8,158.84
61.09,1.72,158.93
61.08,1.65,159.03
61.08,1.57,159.12
61.07,1.5,159.21
61.07,1.42,159.3
61.07,1.35,159.39
61.06,1.27,159.48
61.06,1.2,159.57
61.06,1.12,159.66
61.05,1.05,159.75
61.05,0.97,159.84
61.04,0.9,159.93
61.04,0.82,160.02
61.04,0.75,160.11
61.03,0.67,160.2
61.03,0.6,160.29
61.03,0.52,160.38
61.02,0.45,160.47
61.02,0.37,160.56
61.01,0.3,160.65
61.01,0.22,160.74
61.01,0.15,160.83
61,0.07,160.92
61,-0.01,161
60.97,-0.08,161.05
60.94,-0.16,161.09
60.91,-0.23,161.14
60.88,-0.31,161.18
60.85,-0.38,161.23
60.82,-0.46,161.27
60.79,-0.53,161.32
60.76,-0.61,161.36
60.73,-0.68,161.41
60.7,-0.76,161.45
60.67,-0.83,161.5
60.64,-0.91,161.54
60.61,-0.98,161.59
60.58,-1.06,161.63
60.55,-1.13,161.68
60.52,-1.21,161.72
60.49,-1.28,161.77
60.46,-1.36,161.81
60.43,-1.43,161.86
60.4,-1.51,161.9
60.37,-1.58,161.95
60.34,-1.66,161.99
60.31,-1.73,162.04
60.28,-1.81,162.08
60.25,-1.88,162.13
60.22,-1.96,162.17
60.19,-2.03,162.22
60.16,-2.11,162.26
60.13,-2.18,162.31
60.1,-2.26,162.35
60.07,-2.33,162.4
60.04,-2.41,162.44
60.01,-2.48,162.49
59.98,-2.56,162.53
59.95,-2.63,162.58
59.92,-2.71,162.62
59.89,-2.78,162.67
59.86,-2.86,162.71
59.83,-2.93,162.76
59.8,-3.01,162.8
59.77,-3.08,162.85
59.74,-3.16,162.89
59.71,-3.23,162.94
59.68,-3.31,162.98
59.65,-3.38,163.03
59.62,-3.46,163.07
59.59,-3.53,163.12
59.56,-3.61,163.16
59.53,-3.68,163.21
59.5,-3.76,163.25
59.47,-3.83,163.3
59.44,-3.91,163.34
59.41,-3.98,163.39
59.38,-4.06,163.43
59.35,-4.13,163.48
59.32,-4.21,163.52
59.29,-4.28,163.57
59.26,-4.36,163.61
59.23,-4.43,163.66
59.2,-4.51,163.7
59.17,-4.58,163.75
59.14,-4.66,163.79
59.11,-4.73,163.84
59.08,-4.81,163.88
59.05,-4.88,163.93
59.02,-4.96,163.97
58.99,-5.03,164.02
58.96,-5.11,164.06
58.93,-5.18,164.11
58.9,-5.26,164.15
58.87,-5.33,164.2
58.84,-5.41,164.24
58.81,-5.48,164.29
58.78,-5.56,164.33
58.75,-5.63,164.38
58.72,-5.71,164.42
58.69,-5.78,164.47
58.66,-5.86,164.51
58.63,-5.93,164.56
58.6,-6.01,164.6
58.57,-6.08,164.65
58.54,-6.16,164.69
58.51,-6.23,164.74
58.48,-6.31,164.78
58.45,-6.38,164.83
58.42,-6.46,164.87
58.39,-6.53,164.92
58.36,-6.61,164.96
58.33,-6.68,165.01
58.3,-6.76,165.06
58.27,-6.83,165.1
58.24,-6.91,165.15
58.21,-6.98,165.19
58.18,-7.06,165.24
58.15,-7.13,165.28
58.12,-7.21,165.33
58.09,-7.28,165.37
58.06,-7.36,165.42
58.03,-7.43,165.46
58,-7.51,165.51
57.97,-7.58,165.55
57.94,-7.66,165.6
57.91,-7.73,165.64
57.88,-7.81,165.69
57.85,-7.88,165.73
57.82,-7.96,165.78
57.79,-8.03,165.82
57.76,-8.11,165.87
57.73,-8.18,165.91
57.7,-8.26,165.96
57.67,-8.33,166
57.64,-8.41,166.05
57.61,-8.48,166.09
57.58,-8.56,166.14
57.55,-8.63,166.18
57.52,-8.71,166.23
57.49,-8.78,166.27
57.46,-8.86,166.32
57.43,-8.93,166.36
57.4,-9.01,166.41
57.37,-9.08,166.45
57.34,-9.16,166.5
57.31,-9.23,166.54
57.28,-9.31,166.59
57.25,-9.38,166.63
57.22,-9.46,166.68
57.19,-9.53,166.72
57.16,-9.61,166.77
57.13,-9.68,166.81
57.1,-9.76,166.86
57.07,-9.83,166.9
57.04,-9.91,166.95
57.01,-9.98,166.99
56.98,-10.06,167.04
56.95,-10.14,167.08
56.92,-10.21,167.13
56.89,-10.29,167.17
56.86,-10.36,167.22
56.83,-10.44,167.26
56.8,-10.51,167.31
56.77,-10.59,167.35
56.74,-10.66,167.4
56.71,-10.74,167.44
56.68,-10.81,167.49
56.65,-10.89,167.53
56.62,-10.96,167.58
56.59,-11.04,167.62
56.56,-11.11,167.67
56.53,-11.19,167.71
56.5,-11.26,167.76
56.47,-11.34,167.8
56.44,-11.41,167.85
56.41,-11.49,167.89
56.38,-11.56,167.94
56.35,-11.64,167.98
56.32,-11.71,168.03
56.29,-11.79,168.07
56.26,-11.86,168.12
56.23,-11.94,168.16
56.2,-12.01,168.21
56.17,-12.09,168.25
56.14,-12.16,168.3
56.11,-12.24,168.34
56.08,-12.31,168.39
56.05,-12.39,168.43
56.02,-12.46,168.48
55.99,-12.54,168.52
55.96,-12.61,168.57
55.93,-12.69,168.61
55.9,-12.76,168.66
55.87,-12.84,168.7
55.84,-12.91,168.75
55.81,-12.99,168.79
55.78,-13.06,168.84
55.75,-13.14,168.88
55.72,-13.21,168.93
55.69,-13.29,168.97
55.66,-13.36,169.02
55.63,-13.44,169.06
55.6,-13.51,169.11
55.57,-13.59,169.15
55.54,-13.66,169.2
55.51,-13.74,169.24
55.48,-13.81,169.29
55.45,-13.89,169.33
55.42,-13.96,169.38
55.39,-14.04,169.42
55.36,-14.11,169.47
55.33,-14.19,169.51
55.3,-14.26,169.56
55.27,-14.34,169.6
55.24,-14.41,169.65
55.21,-14.49,169.69
55.18,-14.56,169.74
55.15,-14.64,169.78
55.12,-14.71,169.83
55.09,-14.79,169.87
55.06,-14.86,169.92
55.03,-14.94,169.96
54.99,-15.01,170.01
54.95,-15.09,170.04
54.9,-15.16,170.07
54.86,-15.24,170.1
54.81,-15.31,170.13
54.77,-15.39,170.16
54.72,-15.46,170.19
54.68,-15.54,170.22
54.63,-15.61,170.25
54.59,-15.69,170.28
54.54,-15.76,170.31
54.5,-15.84,170.34
54.45,-15.91,170.37
54.41,-15.99,170.4
54.36,-16.06,170.43
54.32,-16.14,170.46
54.27,-16.21,170.49
54.23,-16.29,170.52
54.18,-16.36,170.55
54.14,-16.44,170.58
54.09,-16.51,170.61
54.05,-16.59,170.64
54,-16.66,170.67
53.96,-16.74,170.7
53.91,-16.81,170.73
53.87,-16.89,170.76
53.82,-16.96,170.79
53.78,-17.04,170.82
53.73,-17.11,170.85
53.69,-17.19,170.88
53.64,-17.26,170.91
53.6,-17.34,170.94
53.55,-17.41,170.97
53.51,-17.49,171
53.46,-17.56,171.03
53.42,-17.64,171.06
53.37,-17.71,171.09
53.33,-17.79,171.12
53.28,-17.86,171.15
53.24,-17.94,171.18
53.19,-18.01,171.21
53.15,-18.09,171.24
53.1,-18.16,171.27
53.06,-18.24,171.3
53.01,-18.31,171.33
52.97,-18.39,171.36
52.92,-18.46,171.39
52.88,-18.54,171.42
52.83,-18.61,171.45
52.79,-18.69,171.48
52.74,-18.76,171.51
52.7,-18.84,171.54
52.65,-18.91,171.57
52.61,-18.99,171.6
52.56,-19.06,171.63
52.52,-19.14,171.66
52.47,-19.21,171.69
52.43,-19.29,171.72
52.38,-19.36,171.75
52.34,-19.44,171.78
52.29,-19.51,171.81
52.25,-19.59,171.84
52.2,-19.66,171.87
52.16,-19.74,171.9
52.11,-19.81,171.93
52.07,-19.89,171.96
52.02,-19.96,171.99
51.94,-20.04,172.02
51.84,-20.12,172.07
51.73,-20.19,172.11
51.63,-20.27,172.16
51.52,-20.34,172.2
51.42,-20.42,172.25
51.31,-20.49,172.29
51.21,-20.57,172.34
51.1,-20.64,172.38
51,-20.72,172.43
50.89,-20.79,172.47
50.79,-20.87,172.52
50.68,-20.94,172.56
50.58,-21.02,172.61
50.47,-21.09,172.65
50.37,-21.17,172.7
50.26,-21.24,172.74
50.16,-21.32,172.79
50.05,-21.39,172.83
49.95,-21.47,172.88
49.84,-21.54,172.92
49.74,-21.62,172.97
49.63,-21.69,173.01
49.53,-21.77,173.06
49.42,-21.84,173.1
49.32,-21.92,173.15
49.21,-21.99,173.19
49.11,-22.07,173.24
49,-22.14,173.28
48.9,-22.22,173.33
48.79,-22.29,173.37
48.69,-22.37,173.42
48.58,-22.44,173.46
48.48,-22.52,173.51
48.37,-22.59,173.55
48.27,-22.67,173.6
48.16,-22.74,173.64
48.06,-22.82,173.69
47.95,-22.89,173.73
47.85,-22.97,173.78
47.74,-23.04,173.82
47.64,-23.12,173.87
47.53,-23.19,173.91
47.43,-23.27,173.96
47.32,-23.34,174.01
47.22,-23.42,174.05
47.11,-23.49,174.1
47.01,-23.57,174.14
46.9,-23.64,174.19
46.8,-23.72,174.23
46.69,-23.79,174.28
46.59,-23.87,174.32
46.48,-23.94,174.37
46.38,-24.02,174.41
46.27,-24.09,174.46
46.17,-24.17,174.5
46.06,-24.24,174.55
45.96,-24.32,174.59
45.85,-24.39,174.64
45.75,-24.47,174.68
45.64,-24.54,174.73
45.54,-24.62,174.77
45.43,-24.69,174.82
45.33,-24.77,174.86
45.22,-24.84,174.91
45.12,-24.92,174.95
45.01,-24.99,175
44.95,-25.07,175.01
44.89,-25.14,175.03
44.83,-25.22,175.04
44.77,-25.29,175.06
44.71,-25.37,175.07
44.65,-25.44,175.09
44.59,-25.52,175.1
44.53,-25.59,175.12
44.47,-25.67,175.13
44.41,-25.74,175.15
44.35,-25.82,175.16
44.29,-25.89,175.18
44.23,-25.97,175.19
44.17,-26.04,175.21
44.11,-26.12,175.22
44.05,-26.19,175.24
43.99,-26.27,175.25
43.93,-26.34,175.27
43.87,-26.42,175.28
43.81,-26.49,175.3
43.75,-26.57,175.31
43.69,-26.64,175.33
43.63,-26.72,175.34
43.57,-26.79,175.36
43.51,-26.87,175.37
43.45,-26.94,175.39
43.39,-27.02,175.4
43.33,-27.09,175.42
43.27,-27.17,175.43
43.21,-27.24,175.45
43.15,-27.32,175.46
43.09,-27.39,175.48
43.03,-27.47,175.49
42.96,-27.54,175.51
42.9,-27.62,175.52
42.84,-27.69,175.54
42.78,-27.77,175.55
42.72,-27.84,175.57
42.66,-27.92,175.58
42.6,-27.99,175.6
42.54,-28.07,175.61
42.48,-28.14,175.63
42.42,-28.22,175.64
42.36,-28.29,175.66
42.3,-28.37,175.67
42.24,-28.44,175.69
42.18,-28.52,175.7
42.12,-28.59,175.72
42.06,-28.67,175.73
42,-28.74,175.75
41.94,-28.82,175.76
41.88,-28.89,175.78
41.82,-28.97,175.79
41.76,-29.04,175.81
41.7,-29.12,175.82
41.64,-29.19,175.84
41.58,-29.27,175.85
41.52,-29.34,175.87
41.46,-29.42,175.88
41.4,-29.49,175.9
41.34,-29.57,175.91
41.28,-29.64,175.93
41.22,-29.72,175.94
41.16,-29.79,175.96
41.1,-29.87,175.97
41.04,-29.94,175.99
40.99,-30.02,176
40.96,-30.1,176
40.93,-30.17,176
40.9,-30.25,176
40.87,-30.32,176
40.84,-30.4,176
40.81,-30.47,176
40.78,-30.55,176
40.75,-30.62,176
40.72,-30.7,176
40.69,-30.77,176
40.66,-30.85,176
40.63,-30.92,176
40.6,-31,176
40.57,-31.07,176
40.54,-31.15,176
40.51,-31.22,176
40.48,-31.3,176
40.45,-31.37,176
40.42,-31.45,176
40.39,-31.52,176
40.36,-31.6,176
40.33,-31.67,176
40.3,-31.75,176
40.27,-31.82,176
40.24,-31.9,176
40.21,-31.97,176
40.18,-32.05,176
40.15,-32.12,176
40.12,-32.2,176
40.09,-32.27,176
40.06,-32.35,176
40.03,-32.42,176
40,-32.5,176
39.97,-32.57,176
39.94,-32.65,176
39.91,-32.72,176
39.88,-32.8,176
39.85,-32.87,176
39.82,-32.95,176
39.79,-33.02,176
39.76,-33.1,176
39.73,-33.17,176
39.7,-33.25,176
39.67,-33.32,176
39.64,-33.4,176
39.61,-33.47,176
39.58,-33.55,176
39.55,-33.62,176
39.52,-33.7,176
39.49,-33.77,176
39.46,-33.85,176
39.43,-33.92,176
39.4,-34,176
39.37,-34.07,176
39.34,-34.15,176
39.31,-34.22,176
39.28,-34.3,176
39.25,-34.37,176
39.22,-34.45,176
39.19,-34.52,176
39.16,-34.6,176
39.13,-34.67,176
39.1,-34.75,176
39.07,-34.82,176
39.04,-34.9,176
39.01,-34.97,176
38.84,-35.02,176.04
38.58,-35.05,176.1
38.33,-35.08,176.16
38.07,-35.11,176.22
37.82,-35.14,176.28
37.56,-35.17,176.34
37.31,-35.2,176.4
37.05,-35.23,176.46
36.8,-35.26,176.52
36.54,-35.29,176.58
36.29,-35.32,176.64
36.03,-35.35,176.7
35.78,-35.38,176.76
35.52,-35.41,176.82
35.27,-35.44,176.88
35.01,-35.47,176.94
34.76,-35.5,177
34.5,-35.53,177.06
34.25,-35.56,177.12
33.99,-35.59,177.18
33.74,-35.62,177.24
33.48,-35.65,177.3
33.23,-35.68,177.36
32.97,-35.71,177.42
32.72,-35.74,177.48
32.46,-35.77,177.54
32.21,-35.8,177.6
31.95,-35.83,177.66
31.69,-35.86,177.72
31.44,-35.89,177.78
31.18,-35.92,177.84
30.93,-35.95,177.9
30.67,-35.98,177.96
30.42,-36.01,178.02
30.16,-36.04,178.08
29.91,-36.07,178.14
29.65,-36.1,178.2
29.4,-36.13,178.26
29.14,-36.16,178.32
28.89,-36.19,178.38
28.63,-36.22,178.44
28.38,-36.25,178.5
28.12,-36.28,178.56
27.87,-36.31,178.62
27.61,-36.34,178.68
27.36,-36.37,178.74
27.1,-36.4,178.8
26.85,-36.43,178.86
26.59,-36.46,178.92
26.34,-36.49,178.98
26.08,-36.52,179.04
25.83,-36.55,179.1
25.57,-36.58,179.16
25.32,-36.61,179.22
25.06,-36.64,179.28
24.81,-36.67,179.34
24.55,-36.7,179.4
24.3,-36.73,179.46
24.04,-36.76,179.52
23.79,-36.79,179.58
23.53,-36.82,179.64
23.28,-36.85,179.7
23.02,-36.88,179.76
22.77,-36.91,179.82
22.51,-36.94,179.88
22.26,-36.97,179.94
22,-37,180
